rtt_ms,bw_mbit,loss_pct,buf_bytes,bbrv2_sender_mbps,bbrv2_receiver_mbps,bbrv3_sender_mbps,bbrv3_receiver_mbps,sender_diff_mbps,sender_diff_pct,receiver_diff_mbps,receiver_diff_pct,winner
100,25,1,10000000,23.434987,23.010915,21.337768,20.872260,-2.097219,-8.949094,-2.138654,-9.294086,bbrv2
100,25,1,50000000,23.557351,23.046140,21.110624,20.680228,-2.446727,-10.386258,-2.365912,-10.265979,bbrv2
100,25,1,100000000,23.365027,22.902675,21.145874,20.715463,-2.219153,-9.497754,-2.187212,-9.550030,bbrv2
100,25,2,100000,14.557239,14.218542,7.898953,7.532652,-6.658286,-45.738659,-6.685890,-47.022330,bbrv2
100,25,2,2000000,23.155384,22.715050,10.240823,9.817107,-12.914561,-55.773468,-12.897943,-56.781485,bbrv2
100,25,2,10000000,23.085470,22.679761,8.265928,7.741858,-14.819542,-64.194240,-14.937904,-65.864466,bbrv2
100,25,2,50000000,23.155672,22.627327,8.423252,8.142944,-14.732420,-63.623374,-14.484383,-64.012790,bbrv2
100,25,2,100000000,23.085458,22.714604,8.108664,7.724398,-14.976795,-64.875448,-14.990207,-65.993695,bbrv2
100,50,0,100000,14.819438,14.462998,13.386384,13.060457,-1.433054,-9.670099,-1.402541,-9.697444,bbrv2
100,50,0,2000000,46.782587,46.448796,46.607982,46.068761,-0.174604,-0.373225,-0.380035,-0.818180,bbrv2
100,50,0,10000000,46.642842,46.213088,46.747509,46.330415,0.104667,0.224401,0.117327,0.253882,bbrv3
100,50,0,50000000,46.817663,46.458973,46.520401,46.033607,-0.297261,-0.634934,-0.425366,-0.915574,bbrv2
100,50,0,100000000,46.642809,46.215313,46.573034,46.068659,-0.069774,-0.149593,-0.146654,-0.317329,bbrv2
100,50,1,100000,14.766944,14.288271,11.726178,11.368855,-3.040766,-20.591709,-2.919416,-20.432258,bbrv2
100,50,1,2000000,45.506827,45.063864,42.168769,41.648617,-3.338058,-7.335291,-3.415247,-7.578682,bbrv2
100,50,1,10000000,45.769023,45.343084,38.900833,38.533089,-6.868190,-15.006198,-6.809995,-15.018817,bbrv2
100,50,1,50000000,46.153490,45.639478,41.749540,41.360976,-4.403951,-9.541967,-4.278502,-9.374563,bbrv2
100,50,1,100000000,45.786486,45.307937,41.609632,41.064495,-4.176855,-9.122462,-4.243442,-9.365781,bbrv2
100,50,2,100000,14.592205,14.166224,6.937817,6.486438,-7.654387,-52.455317,-7.679786,-54.211948,bbrv2
100,50,2,2000000,45.087475,44.645132,26.335659,25.876342,-18.751816,-41.589856,-18.768790,-42.039947,bbrv2
100,50,2,10000000,44.982622,44.662417,23.365016,22.877423,-21.617606,-48.057683,-21.784994,-48.777015,bbrv2
100,50,2,50000000,45.192348,44.732067,18.594009,18.116729,-26.598339,-58.855847,-26.615338,-59.499459,bbrv2
100,50,2,100000000,45.157305,44.766548,22.473495,22.057733,-22.683810,-50.232869,-22.708815,-50.727198,bbrv2
100,100,0,100000,14.854398,14.445423,13.526078,13.077751,-1.328321,-8.942271,-1.367672,-9.467858,bbrv2
100,100,0,2000000,85.037667,84.375762,92.640088,92.225945,7.602422,8.940064,7.850182,9.303836,bbrv3
100,100,0,10000000,92.499582,92.116010,92.763014,92.244563,0.263432,0.284792,0.128553,0.139556,bbrv3
100,100,0,50000000,92.586394,92.110095,92.517362,91.981472,-0.069032,-0.074559,-0.128623,-0.139641,bbrv2
100,100,0,100000000,92.587343,92.100404,93.041654,92.505405,0.454311,0.490684,0.405001,0.439738,bbrv3
100,100,1,100000,14.679615,14.375501,11.097096,10.810892,-3.582519,-24.404720,-3.564609,-24.796416,bbrv2
100,100,1,2000000,70.828849,70.423729,82.992238,82.495713,12.163390,17.172932,12.071984,17.141927,bbrv3
100,100,1,10000000,83.149739,82.712202,80.301264,79.854423,-2.848475,-3.425717,-2.857779,-3.455088,bbrv2
100,100,1,50000000,82.433253,81.962158,80.458107,79.932307,-1.975145,-2.396054,-2.029851,-2.476571,bbrv2
100,100,1,100000000,86.855546,86.376703,82.729722,82.311160,-4.125824,-4.750213,-4.065543,-4.706759,bbrv2
100,100,2,100000,14.522295,14.183764,6.081482,5.632033,-8.440813,-58.123133,-8.551731,-60.292396,bbrv2
100,100,2,2000000,68.644475,68.168689,13.927994,13.513354,-54.716481,-79.709957,-54.655335,-80.176597,bbrv2
100,100,2,10000000,84.250759,83.864622,26.510571,26.033700,-57.740188,-68.533731,-57.830923,-68.957471,bbrv2
100,100,2,50000000,79.986612,79.468190,11.306667,10.932795,-68.679945,-85.864301,-68.535395,-86.242552,bbrv2
100,100,2,100000000,80.773066,80.352307,14.364957,13.897419,-66.408109,-82.215660,-66.454888,-82.704393,bbrv2
100,300,0,100000,14.714600,14.375781,13.351404,13.042808,-1.363196,-9.264239,-1.332973,-9.272350,bbrv2
100,300,0,2000000,115.618594,115.019646,203.661939,203.055969,88.043344,76.149814,88.036323,76.540248,bbrv3
100,300,0,10000000,201.357370,200.963162,204.730038,204.264329,3.372669,1.674967,3.301167,1.642673,bbrv3
100,300,0,50000000,201.043470,200.634003,203.611632,203.149697,2.568162,1.277416,2.515693,1.253872,bbrv3
100,300,0,100000000,201.058245,200.708692,203.454465,202.909720,2.396219,1.191804,2.201028,1.096628,bbrv3
100,300,1,100000,14.679758,14.271121,11.813591,11.421212,-2.866167,-19.524620,-2.849908,-19.969758,bbrv2
100,300,1,2000000,101.551497,100.908607,105.099018,104.623679,3.547522,3.493323,3.715072,3.681621,bbrv3
100,300,1,10000000,113.382715,112.720034,113.505499,113.063713,0.122784,0.108292,0.343679,0.304896,bbrv3
100,300,1,50000000,114.273883,113.718803,115.042584,114.562664,0.768701,0.672683,0.843861,0.742059,bbrv3
100,300,1,100000000,113.557111,112.931229,116.509378,116.250324,2.952267,2.599808,3.319095,2.939040,bbrv3
100,300,2,100000,14.487391,14.061483,8.475748,8.160631,-6.011643,-41.495690,-5.900852,-41.964651,bbrv2
100,300,2,2000000,93.966668,93.420474,51.937826,51.457181,-42.028842,-44.727394,-41.963293,-44.918733,bbrv2
100,300,2,10000000,103.071936,102.350295,25.654319,25.196417,-77.417616,-75.110277,-77.153879,-75.382175,bbrv2
100,300,2,50000000,103.176909,102.705167,44.335894,43.749074,-58.841014,-57.029247,-58.956093,-57.403240,bbrv2
